tweet_id,username,name,creation_date,text,location
1696952618059211129,ctvedmonton,CTV Edmonton,Wed Aug 30 18:26:46 +0000 2023,Mounties in the Northwest Territories say a group of people may be planning to return to Yellowknife in violation of the current evacuation order. #yeg #ab #nwt https://t.co/V02eOAKAU0,"Edmonton, Alberta, Canada"
1696744046218166325,davwain1,David I.W.,Wed Aug 30 04:37:59 +0000 2023,"@mee1982384 @CHCHNews @TrendingNowCHCH (1/) A proactive @ongov would’ve long ago taken actions to legislate stricter building standards to include making buildings, whether residential, commercial, or industrial, more resilient to #extremeweather events.  #Evacuation|s of #Yellowknife, #HayRiver &amp; #BCInterior that so",
1696871503776841742,CabinRadio,Cabin Radio,Wed Aug 30 13:04:27 +0000 2023,"How does being an evacuee affect your taxes?

You can claim evacuation expenses as a northern resident deduction trip, with a few exceptions, says Yellowknife tax consultant Andy Wong. Here's a guide.
https://t.co/F8tojhWBGd","Yellowknife, NT"
1696992445316346285,winsyyc,winsyyc,Wed Aug 30 21:05:02 +0000 2023,"""Our family of 5 found ourselves in #Calgary, far from home, due to the fierce fires in Yellowknife, NT. While the flames didn't reach our doorstep, the city's air became unbreathable from the smoke, leading to a city-wide evacuation."" 

Read more here: https://t.co/GrmrgVH0sR https://t.co/TDtRI7iU8d","Calgary, AB"
1696928091170390295,canadaposthelps,Canada Post Helps,Wed Aug 30 16:49:18 +0000 2023,"Evacuation orders and the effects of wildfires in the Yellowknife region are impacting our transportation network, which is currently preventing us from getting mail in or out of the following community:
• Taloyoak, Nunavut

(2/7)",Ottawa Ontario
1696984795803471930,sbrucecanada,Shawna Bruce (She/Her),Wed Aug 30 20:34:38 +0000 2023,"This is not good. Not good at all. 

“Mounties in the Northwest Territories say a group of people may be planning to return to Yellowknife in violation of the current evacuation order.” https://t.co/A6E4UIveKR","Alberta, Canada"
1697305336422568092,ht_9944,HT,Thu Aug 31 17:48:21 +0000 2023,"A Medical Technician trains local personnel in preparation of evacuations via Operation LENTUS in Yellowknife, Northwest Territories. (5 Field Ambulance, Canadian Armed Forces) https://t.co/Ssd7buNWV2","Indian Legation Quarters, 🇨🇦"
1697285663853306211,NWTBDIC,NWT BDIC,Thu Aug 31 16:30:10 +0000 2023,"The BDIC office in Yellowknife is closed due to the evacuation and wildfires, however, our team is working remotely and available to support NWT businesses during this challenging time. https://t.co/hKO3YdHuss","Northwest Territories, Canada"
1697185318137413688,moonynights_ym,やまもん@失業中,Thu Aug 31 09:51:26 +0000 2023,"I understand that Yellowknife is still under the evacuation. But my Yellowknife friend said there is no problem to come if flight is not canceled.
I hope to go there and see northern lights!!",
1697287749450215846,VincentJCurtis1,Vincent J. Curtis,Thu Aug 31 16:38:28 +0000 2023,"He lives in the United States, and asks questions as stupid as this?  The evacuation of Yellowknife, Canada, would have been impossible with an all-EV vehicle fleet.  It's 1450 km from Y to Edmonton, the first place large enough to house 22,000.",Canada
1697239718209970227,CabinRadio,Cabin Radio,Thu Aug 31 13:27:36 +0000 2023,"Yellowknife's evacuation, with foster families and social workers each facing daunting challenges, tested the limits of Child and Family Services.
https://t.co/gKYnpmzTS6","Yellowknife, NT"
1697069192829419871,TheTyee,The Tyee,Thu Aug 31 02:10:00 +0000 2023,"In 2016, a fire tore through Fort McMurray, Alberta. Two people died in a car crash during the evacuation.

In 2021, a wildfire levelled the town of Lytton, B.C. Two people died in the fire.

Now, Yellowknife has joined the displaced Canadian communities.
https://t.co/SNeNS5zwkz",Vancouver
1697258885248331899,susanwat,susan waterhouse,Thu Aug 31 14:43:46 +0000 2023,"Not surprised. First the travel restrictions and now evacuations.  For many, it is not only a question of wanting to live in Yellowknife, it is a question of being able to live in Yellowknife, with the current lack of infrastructure, government planning, and services.","Sidney, British Columbia"
1697311861111165422,NNSLonline,NNSL Online,Thu Aug 31 18:14:16 +0000 2023,"When it comes to critical services and businesses, Yellowknife Mayor Rebecca Alty wants to make it crystal clear: Don’t call us, we’ll call you. #Yellowknife #nwtfire #Evacuation 

https://t.co/p8NxrYk3R4",Northern Canada
1697242991042367784,Deosai_Tech,Deosai Technical,Thu Aug 31 13:40:36 +0000 2023,@CabinRadio Exactly what I was thinking yesterday. It would be interesting to see what impact this ‘evacuation’ will have on the manpower (people power?) situation in Yellowknife. We were struggling without this inconvenience as it was.,"Yellowknife, Northwest Territories"
1697039751885238404,NNSLonline,NNSL Online,Thu Aug 31 00:13:00 +0000 2023,"A return of essential workers has been postponed due to wildfire dangers in Yellowknife. #Yellowknife #NWTwildfires #Evacuation 

https://t.co/QbOPtbI07F",Northern Canada
1697468863812886550,janetripp_,Jane Tripp,Fri Sep 01 04:38:09 +0000 2023,"NWT wildfires: Convoy plans to defy evacuation order, enter Yellowknife https://t.co/Fb8RmKboS9 via @YouTube",BC Canada
1697619669224399016,MetLoki,When BmetL,Fri Sep 01 14:37:24 +0000 2023,"These are hard articles to read. Could you imagine if all of these fires and displacement was by design?  This is what my neighbour was mentioning with Canada and the WEF. 
Yellowknife business owners face a daunting evacuation recovery - https://t.co/vi5mET2ZRF via @cabinradio","Yellowknife, Northwest Territo"
1697757478652625114,CBCbrief,CBCbrief - CBC News headlines,Fri Sep 01 23:45:00 +0000 2023,"Residents from Yellowknife, Ndilǫ, Dettah and the Ingraham Trail will be able to go home on Sept. 6, three weeks after the territory issued an evacuation order due to an approaching wildfire. The evacuation of about... https://t.co/XvkTsm3c2Y",
1697615271228305556,NNSLonline,NNSL Online,Fri Sep 01 14:19:55 +0000 2023,"“The good news is that health care related staff are able to come home by air. The hospital needs the most time to get back to basic service level,” Yellowknife Mayor Rebecca Alty says. #Yellowknife #NWTwildfires #Evacuation 

https://t.co/wKg6UABULg",Northern Canada
1697606859589329137,ChamberNWT,NWT Chamber of Commerce,Fri Sep 01 13:46:29 +0000 2023,"Solid reporting on the serious predicament facing small businesses caught up in this summer’s #wildfire #evacuation in #Yellowknife &amp; #NWT. Private insurance often doesn’t cover. The #GNWT has started to help, but @JustinTrudeau &amp; @stbstvdan must step up. 
https://t.co/b4309VDPe3","Northwest Territories, Canada."
1697783902906052711,CBCNews,CBC News,Sat Sep 02 01:30:00 +0000 2023,"Residents of Yellowknife, Ndilǫ, Dettah and the Ingraham Trail will be able to go home starting at noon on Wednesday, three weeks after the territory issued an evacuation order for these communities due to an approaching wildfire. https://t.co/fUlkNPPYUl",Canada
1698007922423250944,CTVNews,CTV News,Sat Sep 02 16:20:10 +0000 2023,N.W.T. officials set to share details about lifting of Yellowknife evacuation order https://t.co/Fb5sGNgpIX https://t.co/PRRn4FVkNx,
